
Critical 	10 	— 	mercurial 	CVE-2017-17458  
Critical 	9.3 	— 	rake 	CVE-2020-8130  
Critical 	9.3 	— 	linux 	CVE-2019-19814  
High 	7.5 	— 	perl 	CVE-2020-10878  
High 	7.8 	— 	linux 	CVE-2019-19074  
High 	7.2 	— 	linux 	CVE-2018-12931  
High 	7.5 	— 	mercurial 	CVE-2018-13347  
High 	7.2 	— 	linux 	CVE-2020-13974  
High 	7.5 	— 	glibc 	CVE-2018-6485  
High 	7.5 	— 	pcre3 	CVE-2020-14155  
High 	6.9 	— 	linux 	CVE-2019-2213  
High 	7.1 	— 	linux 	CVE-2019-19815  
High 	7.2 	Yes 	linux 	CVE-2020-12464  
High 	7.2 	— 	linux 	CVE-2018-12930  
High 	7.5 	— 	libsndfile 	CVE-2017-12562  
High 	7.5 	— 	sqlite3 	CVE-2019-8457  
High 	7.5 	— 	glibc 	CVE-2019-9169  
High 	7.1 	— 	linux 	CVE-2019-19813  
High 	7.1 	— 	Multiple 	CVE-2020-8492  
High 	6.9 	— 	cron 	CVE-2017-9525  
High 	7.2 	— 	glibc 	CVE-2018-1000001  
High 	7.2 	— 	linux 	CVE-2018-9517  
High 	7.5 	— 	rsyslog 	CVE-2019-17042  
High 	7.8 	— 	linux 	CVE-2013-7445  
High 	7.5 	— 	rsyslog 	CVE-2019-17041  
High 	7.2 	— 	util-linux 	CVE-2016-2779  
High 	7.5 	— 	bzip2 	CVE-2019-12900  
High 	7.5 	— 	libpng1.6 	CVE-2017-12652  
Medium 	6.8 	— 	nss 	CVE-2019-11745  
Medium 	4.3 	— 	libxml2 	CVE-2018-14567  
Medium 	4.6 	— 	e2fsprogs 	CVE-2019-5188  
Medium 	4.3 	Yes 	libsndfile 	CVE-2017-7585  
Medium 	4.3 	— 	gdb 	CVE-2016-4489  
Medium 	4.3 	— 	sqlite3 	CVE-2018-18344  
Medium 	6.4 	— 	libbsd 	CVE-2019-20367  
Medium 	6.8 	Yes 	libsndfile 	CVE-2017-8361  
Medium 	4.3 	Yes 	linux 	CVE-2020-12654  
Medium 	5 	— 	perl 	CVE-2020-12723  
Medium 	6.8 	— 	gcc-6 	CVE-2018-12886  
Medium 	6.8 	— 	linux 	CVE-2019-19449  
Medium 	4.3 	— 	libsndfile 	CVE-2017-14634  
Medium 	5.4 	Yes 	linux 	CVE-2020-10942  
Medium 	6.8 	— 	file 	CVE-2019-8907  
Medium 	6.8 	— 	linux 	CVE-2019-19377  
Medium 	4.4 	— 	linux 	CVE-2020-12826  
Medium 	4.3 	— 	binutils 	CVE-2018-10535  
Medium 	6.8 	— 	graphite2 	CVE-2018-7999  
Medium 	6.8 	— 	libsndfile 	CVE-2017-6892  
Medium 	4.3 	— 	linux 	CVE-2019-12984  
Medium 	5 	— 	bind9 	CVE-2017-3144  
Medium 	6.5 	— 	krb5 	CVE-2018-5729  
Medium 	5 	— 	sqlite3 	CVE-2019-20218  
Medium 	6.8 	— 	binutils 	CVE-2017-12448  
Medium 	4.3 	Yes 	linux 	CVE-2020-13143  
Medium 	4.6 	— 	linux 	CVE-2020-11725  
Medium 	4.3 	— 	Multiple 	CVE-2019-9947  
Medium 	5 	— 	mercurial 	CVE-2018-13346  
Medium 	4.3 	— 	binutils 	CVE-2018-7568  
Medium 	4.3 	— 	binutils 	CVE-2017-13757  
Medium 	5 	— 	lynx 	CVE-2017-1000211  
Medium 	6.8 	— 	binutils 	CVE-2018-7208  
Medium 	4.3 	Yes 	libsndfile 	CVE-2017-8362  
Medium 	6.8 	— 	binutils 	CVE-2017-12458  
Medium 	4.3 	— 	binutils 	CVE-2018-10534  
Medium 	4.3 	— 	binutils 	CVE-2017-14333  
Medium 	5.8 	— 	mercurial 	CVE-2019-3902  
Medium 	6.8 	— 	libxml2 	CVE-2016-9318  
Medium 	4.3 	Yes 	libsndfile 	CVE-2017-7586  
Medium 	4.3 	— 	nss 	CVE-2018-12404  
Medium 	6.8 	— 	sqlite3 	CVE-2019-5827  
Medium 	6.8 	— 	binutils 	CVE-2017-12459  
Medium 	4.9 	— 	linux 	CVE-2019-20810  
Medium 	4.3 	— 	libsndfile 	CVE-2018-19758  
Medium 	5 	— 	Multiple 	CVE-2019-9636  
Medium 	4.3 	— 	giflib 	CVE-2016-3977  
